frequency,intensity,lower_state,upper_state
-36.52834385928432,0.0007060758130492984,"(7, 26, 1)","(6, 25, 0)"
-36.52834385651619,0.0007060758130642853,"(7, 26, 2)","(7, 25, 3)"
-36.512365497980625,4.761341353869533e-07,"(5, 23, 3)","(2, 23, 2)"
-36.4865097349159,3.077246461481971e-07,"(5, 22, 0)","(2, 22, 1)"
-36.46530396121156,1.2068816982589322e-06,"(4, 27, 3)","(1, 27, 2)"
-36.44954428786321,2.5497856195512313e-07,"(3, 18, 1)","(0, 17, 0)"
-36.39885516855523,1.5564754185153988e-06,"(2, 22, 1)","(0, 21, 0)"
-36.39845629685345,8.964607478761215e-08,"(7, 29, 2)","(5, 30, 3)"
-36.39821190607785,8.964628309022565e-08,"(7, 29, 1)","(6, 30, 0)"
-36.39588265612829,1.813494047564509e-06,"(5, 15, 2)","(3, 14, 3)"
-36.39586744238737,1.8134945667494281e-06,"(5, 15, 1)","(4, 14, 0)"
-36.384300339337074,6.486060441437671e-05,"(2, 28, 2)","(1, 27, 3)"
-36.370051100288094,1.513025875458892e-06,"(2, 21, 0)","(0, 20, 1)"
-36.35716327528746,6.492121605155979e-05,"(2, 28, 0)","(1, 27, 1)"
-36.34591317947475,1.1906491790539692e-07,"(6, 15, 1)","(4, 15, 0)"
-36.3459131565554,1.1906491793842358e-07,"(6, 15, 2)","(5, 15, 3)"
-36.33011699937728,8.860271890938456e-06,"(5, 19, 3)","(3, 18, 2)"
-36.32599055653492,2.5194249630766453e-05,"(11, 24, 0)","(10, 24, 1)"
-36.32599055653486,2.5194249630766263e-05,"(10, 24, 3)","(10, 24, 2)"
-36.32541870310831,2.335110690764687e-06,"(2, 30, 3)","(1, 30, 2)"
-36.317133246637695,4.23938364477993e-05,"(10, 30, 0)","(9, 30, 1)"
-36.317133246637354,4.239383644779875e-05,"(9, 30, 3)","(9, 30, 2)"
-36.31332093236833,8.864631699346598e-06,"(4, 19, 0)","(3, 18, 1)"
-36.27791382937508,8.717072968108616e-08,"(7, 28, 1)","(5, 29, 0)"
-36.277805980326946,8.717081702369206e-08,"(7, 28, 2)","(6, 29, 3)"
-36.26799062875253,0.00042448266945048735,"(6, 30, 0)","(5, 29, 1)"
-36.26601763099029,0.0004244949151894297,"(5, 30, 3)","(5, 29, 2)"
-36.2607269917566,3.277345766949779e-05,"(4, 25, 1)","(3, 24, 0)"
-36.23055282228276,1.239166445936219e-06,"(2, 29, 1)","(0, 29, 0)"
-36.22460691925073,2.343782968562727e-06,"(2, 30, 1)","(1, 30, 0)"
-36.21489982496493,1.239781526214825e-06,"(2, 29, 3)","(0, 29, 2)"
-36.202687196971965,4.147037906570378e-05,"(10, 27, 2)","(10, 27, 3)"
-36.20268719697191,4.147037906570104e-05,"(10, 27, 1)","(9, 27, 0)"
-36.194123514251345,2.8681411036293974e-06,"(5, 23, 0)","(4, 23, 1)"
-36.19035290599541,2.8683285691927393e-06,"(6, 23, 3)","(4, 23, 2)"
-36.16939603873746,8.269650863514352e-08,"(7, 27, 2)","(5, 28, 3)"
